STRUCTURE_SMILES,LC50_mmol
OCCN(CCO)CCO,7.91E+01
CN(C)N,1.31E-01
NCCCN,1.61E+01
OCCNCCO,4.48E+01
CS(=O)C,4.35E+02
OCCN,3.39E+01
OCCOCCO,7.09E+02
OCCOCCOCCO,4.59E+02
NCCN,3.66E+00
OC(C)CN,3.36E+01
NCC(N)C,1.36E+01
NCCCN1CCN(CCCN)CC1,1.55E+01
CO,9.17E+02
OCCN1CCNCC1,4.92E+01
NCCN1CCNCC1,1.70E+01
C[C@](CC(O)C)(C)O,9.05E+01
COCCN,6.98E+00
CC1(C)NC(=O)NC1=O,1.29E+02
CCOCCOCCO,1.98E+02
N#CCC#N,8.48E-03
CCNCCO,1.66E+01
OCCN1CCOCC1,2.07E+01
N1CC(C)NCC1,2.24E+01
C1OCOCO1,6.61E+01
CC#N,4.01E+01
C1COCCO1,1.17E+02
CC(=O)C,1.23E+02
C=CC(=O)OCCO,4.14E-02
NC1=CC=C(CC)C=C1,6.02E-01
C1=CC=C(CS(=O)CC2=CC=CC=C2)C=C1,3.48E-01
N1=C(Br)NC(Br)=C1Br,2.01E-02
C1=C(C(=O)C)C=C([N+]([O-])=O)C(Cl)=C1,2.76E-02
C1=CC=CC=C1C(=O)C2=CC=NC=C2,5.62E-01
BrCCCBr,1.04E-02
C#CC(O)CCCCC,3.27E-03
C1=CC=CC=C1S(=O)C2=CC=CC=C2,4.32E-01
ClC1=CC=C(C=O)C=C1,1.56E-02
BrCCC,5.47E-01
O=C(CC1C2)C(C2)(C1(C)C)C,1.12E-01
BrC1=C(C)NC(=O)N(C(C)CC)C1=O,7.12E-01
CNC(=O)OC1=CC(C)=C(N(C)C)C=C1,9.36E-03
C1=CC=C2C(=C1)C(=O)C(C)=CC2=O,6.39E-04
ClC1=CC=C([N+](=O)[O-])C=C1C=O,2.09E-02
CN(C1=CC=CC=C1)C,5.29E-01
C1=C(C(=O)CBr)C(OC)=CC=C1OC,2.55E-03
CC1(C)CCC(C)(C)O1,1.31E+00
ClC1=CC([N+](=O)[O-])=CC=C1,1.19E-01
COC(=O)C1=CC=C(C(=O)OC)C=C1N,4.27E-02
C1N2CN3CN(C2)CN1C3,3.55E+02
C(F)(F)(F)C1=CC(C#N)=CC=C1,2.79E-01
C1=CC=CC(=C1C(F)(F)F)C#N,2.47E-01
C1(C=O)=CC(C(F)(F)F)=CC=C1,5.31E-03
NC1=C([N+]([O-])=O)C=C(OCC)C=C1,1.43E-01
CC(Cl)(Cl)Cl,3.55E-01
N1=C(C)C=CC(CC)=C1,6.69E-01
ClC1=CC(Cl)=C([N+]([O-])=O)C=C1[N+]([O-])=O,1.92E-04
C1=CC(C(C)(C)C)=CC=C1C(=O)N,1.80E-01
C1(C=O)=C(Cl)C=CC=C1F,5.93E-02
N1=CC=C(C2=CC=CC=C2)C=C1,1.04E-01
CCOC(=O)C(Cl)C(=O)OCC,4.88E-03
O1COC2=CC=C(/C=C/C=C/C(=O)N3CCCCC3)C=C12,2.75E-02
C(C1=CC=CC=C1)(C2=CC=CC=C2)(O)C#C,5.33E-02
CCCCCCCO,2.97E-01
CC2(C)OC1(C)CCC2CC1,6.61E-01
CCOC(=O)C(CC1=CC=CC=C1)C(=O)OCC,2.17E-02
C=CC(=O)OC1CCCCC1,9.60E-03
CN(C)C1=CC=C(C)C=C1,3.62E-01
CCNC1=CC(C)=CC=C1,3.66E-01
CCCCCCC(C)N,4.02E-02
C=C(C)C(=O)OCC1=CC=CC=C1,2.65E-02
C1=C(C(=O)C)C(Cl)=CC(Cl)=C1,6.89E-02
N#CC1=C(Cl)C=CC=C1C,9.96E-02
CCN(CC)C1CCCCC1,1.38E-01
CC(C)(C)C1=CC=C(OC(=O)NC)C=C1,4.82E-02
C1(C=O)=CC=C(C(C)C)C=C1,4.47E-02
C1=C(Cl)C(Cl)=CC=C1NC(=O)CC,3.94E-02
CC1=CC=C(C)C=C1,8.35E-02
C1(C=O)=C(O)C=CC(Br)=C1,6.46E-03
C1=CC=CC=C1C(=O)C2=CC=CC=C2,8.07E-02
C1=CC(O)=CC=C1/N=N/C2=CC=CC=C2,6.00E-03
C1=CC=CC=C1NC(=O)C2=C(O)C=CC=C2,1.85E-02
ClCC1=CC=C(CCl)C=C1,2.23E-04
CCN(CC)C1=CC=CC=C1,1.10E-01
CCOP(=S)(OCC)SCSC(C)(C)C,4.61E-05
C1=CC(Cl)=CC=C1OC2=C([N+](=O)[O-])C=CC=C2,7.69E-03
N1=C(C2=CC=CC=C2)C=CC=C1C3=CC=CC=C3,9.08E-04
CCCCCCCCCCCCCN,3.28E-04
,
,
