SMILES	ID
[NH3+]C1Cc2ccccc2N(Cc2ccc(F)c(C(F)(F)F)c2)C1	RBIF-2163
COc1ccccc1N1CCN(CC/C(=N\O)c2ccsc2)CC1	RBIF-1488
[NH3+]C1Cc2ccccc2N(Cc2cc(Cl)ccc2Br)C1	RBIF-2899
O=C(CCN1CCN(c2ccccc2O)CC1)c1ccc2ccccc2c1	RBIF-4346
[NH3+]C1Cc2ccccc2N(Cc2ccc(Cl)cc2Cl)C1	RBIF-0610
N#CN(Cc1ccc(C(F)(F)F)cc1)c1ccccc1	RBIF-4763
COc1ccccc1N1CCN(CCC(Oc2ccc(C(F)(F)F)cc2)c2ccccc2)CC1	RBIF-0358
FC(F)(F)c1cccc(OCc2ccccc2)c1	RBIF-4804
C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2/C(=N/N=C2\CC[C@@]4(O)[C@H]6Cc7ccc(O)c8c7[C@@]4(CCN6CC=C)[C@H]2O8)CC[C@@]3(O)[C@H]1C5	RBIF-1709
Fc1ccccc1COc1ccc(C(F)(F)F)cc1	RBIF-1200
CC[C@H](C)[C@H](N)C1=N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H]2CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC)CS1	RBIF-1380
CC1CN(Cc2cccc(Br)c2Cl)c2ccccc21	RBIF-0907
COc1ccccc1N1CCN(CC/C(=N\O)c2csc3ccccc23)CC1	RBIF-2188
FC(F)(F)c1cccc(SCC2CCCc3ccccc32)c1	RBIF-1449
CC1CN(Cc2cccc(Cl)c2Br)c2ccccc21	RBIF-1189
N#Cc1cccc(C[NH+]2CCSCC2c2ccc(C(F)(F)F)cc2)c1F	RBIF-4021
FC(F)(F)c1cc(OCC2Cc3ccccc3C2)ccc1Br	RBIF-0323
CC[C@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2	RBIF-1428
CC1CN(c2cccnc2C(F)(F)F)Cc2ccccc21	RBIF-1149
O=[N+]([O-])c1ccc(N2CCN(CCC(Oc3ccc(C(F)(F)F)cc3)c3ccccc3)CC2)cc1	RBIF-0814
Fc1ccc(Br)cc1CN1CCCc2ccccc21	RBIF-0443
COc1ccc(N2CCN(CCC(Oc3ccc(C(F)(F)F)cc3)c3ccccc3)CC2)cc1	RBIF-1452
[NH3+]C1Cc2ccccc2N(Cc2cccc(Br)c2Br)C1	RBIF-1392
CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21	RBIF-1576
[NH3+]C1Cc2ccccc2N(Cc2ccc(F)c(Br)c2)C1	RBIF-2027
O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1	RBIF-3388
COc1ccccc1N1CCN(CCC(O)c2ccsc2)CC1	RBIF-0336
[NH3+]C1Cc2ccccc2N(Cc2cc(Cl)ccc2Cl)C1	RBIF-3290
