IPAD_DB_ID,Name,Targeting-protein,Research models,Ref. Link,Molecular Formula,Molecular Weight,IUPAC Name,InChI,InChI Key,Canonical SMILES,,,,
D00001,Donepezil,5-HT6 receptor,In silico and in vitro,https://doi.org/10.1021/acschemneuro.8b00024,C24H29NO3,379.5 g/mol,"2-[(1-benzylpiperidin-4-yl)methyl]-5,6-dimethoxy-2,3-dihydroinden-1-one","InChI=1S/C24H29NO3/c1-27-22-14-19-13-20(24(26)21(19)15-23(22)28-2)12-17-8-10-25(11-9-17)16-18-6-4-3-5-7-18/h3-7,14-15,17,20H,8-13,16H2,1-2H3",ADEBPBSSDYVVLD-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,,,,
D00002,Donepezil,Acetylcholinesterase (AChE),In silico and in vitro,https://doi.org/10.1021/acschemneuro.8b00024,C24H29NO3,379.5 g/mol,"2-[(1-benzylpiperidin-4-yl)methyl]-5,6-dimethoxy-2,3-dihydroinden-1-one","InChI=1S/C24H29NO3/c1-27-22-14-19-13-20(24(26)21(19)15-23(22)28-2)12-17-8-10-25(11-9-17)16-18-6-4-3-5-7-18/h3-7,14-15,17,20H,8-13,16H2,1-2H3",ADEBPBSSDYVVLD-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,,,,
D00003,Rolitetracycline,Aβ42 oligomers  and fibrils,In vitro,https://doi.org/10.1074/jbc.M608207200,C27H33N3O8,527.6 g/mol,"(4S,4aS,5aS,6S,12aR)-4-(dimethylamino)-1,6,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-N-(pyrrolidin-1-ylmethyl)-4,4a,5,5a-tetrahydrotetracene-2-carboxamide","InChI=1S/C27H33N3O8/c1-26(37)13-7-6-8-16(31)17(13)21(32)18-14(26)11-15-20(29(2)3)22(33)19(24(35)27(15,38)23(18)34)25(36)28-12-30-9-4-5-10-30/h6-8,14-15,20,31-32,35,37-38H,4-5,9-12H2,1-3H3,(H,28,36)/t14-,15-,20-,26+,27-/m0/s1",IKQRPFTXKQQLJF-IAHYZSEUSA-N,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)NCN5CCCC5)N(C)C)O,,,,
D00004,Daunomycinol,Aβ1-40,"IMR32 human neuroblastoma cells, ",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1220570/,C27H31NO10,529.5 g/mol,"(7S,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-[(1S)-1-hydroxyethyl]-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione","InChI=1S/C27H31NO10/c1-10-22(30)14(28)7-17(37-10)38-16-9-27(35,11(2)29)8-13-19(16)26(34)21-20(24(13)32)23(31)12-5-4-6-15(36-3)18(12)25(21)33/h4-6,10-11,14,16-17,22,29-30,32,34-35H,7-9,28H2,1-3H3/t10-,11-,14-,16-,17-,22+,27-/m0/s1",HJEZFVLKJYFNQW-PRFXOSGESA-N,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(C)O)O)N)O,,,,
D00005,Donepezil,Aβ1-42,In silico and in vitro,https://doi.org/10.1021/acschemneuro.8b00024,C24H29NO3,379.5 g/mol,"2-[(1-benzylpiperidin-4-yl)methyl]-5,6-dimethoxy-2,3-dihydroinden-1-one","InChI=1S/C24H29NO3/c1-27-22-14-19-13-20(24(26)21(19)15-23(22)28-2)12-17-8-10-25(11-9-17)16-18-6-4-3-5-7-18/h3-7,14-15,17,20H,8-13,16H2,1-2H3",ADEBPBSSDYVVLD-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,,,,
D00006,Donepezil,Butyrylcholinesterase (BChE),In silico and in vitro,https://doi.org/10.1021/acschemneuro.8b00024,C24H29NO3,379.5 g/mol,"2-[(1-benzylpiperidin-4-yl)methyl]-5,6-dimethoxy-2,3-dihydroinden-1-one","InChI=1S/C24H29NO3/c1-27-22-14-19-13-20(24(26)21(19)15-23(22)28-2)12-17-8-10-25(11-9-17)16-18-6-4-3-5-7-18/h3-7,14-15,17,20H,8-13,16H2,1-2H3",ADEBPBSSDYVVLD-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,,,,
D00007,Donepezil,Acetylcholinesterase  (AChE),"In vitro, Molecular docking, Molecular dynamics simulation",https://doi.org/10.1039/D1FO01177D,C24H29NO3,379.5 g/mol,"2-[(1-benzylpiperidin-4-yl)methyl]-5,6-dimethoxy-2,3-dihydroinden-1-one","InChI=1S/C24H29NO3/c1-27-22-14-19-13-20(24(26)21(19)15-23(22)28-2)12-17-8-10-25(11-9-17)16-18-6-4-3-5-7-18/h3-7,14-15,17,20H,8-13,16H2,1-2H3",ADEBPBSSDYVVLD-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,,,,
D00008,Donepezil,Aβ1–42,"In vitro, Molecular docking, Molecular dynamics simulation",https://doi.org/10.1039/D1FO01177D,C24H29NO3,379.5 g/mol,"2-[(1-benzylpiperidin-4-yl)methyl]-5,6-dimethoxy-2,3-dihydroinden-1-one","InChI=1S/C24H29NO3/c1-27-22-14-19-13-20(24(26)21(19)15-23(22)28-2)12-17-8-10-25(11-9-17)16-18-6-4-3-5-7-18/h3-7,14-15,17,20H,8-13,16H2,1-2H3",ADEBPBSSDYVVLD-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,,,,
D00009,Bromocriptine,Aβ,,https://doi.org/10.1016/j.neuint.2005.11.001,C32H40BrN5O5,654.6 g/mol,"(6aR,9R)-5-bromo-N-[(1S,2S,4R,7S)-2-hydroxy-7-(2-methylpropyl)-5,8-dioxo-4-propan-2-yl-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide","InChI=1S/C32H40BrN5O5/c1-16(2)12-24-29(40)37-11-7-10-25(37)32(42)38(24)30(41)31(43-32,17(3)4)35-28(39)18-13-20-19-8-6-9-22-26(19)21(27(33)34-22)14-23(20)36(5)15-18/h6,8-9,13,16-18,23-25,34,42H,7,10-12,14-15H2,1-5H3,(H,35,39)/t18-,23-,24+,25+,31-,32+/m1/s1",OZVBMTJYIDMWIL-AYFBDAFISA-N,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,,,,
D00010,Filipin III,Aβ,"In vitro, Escherichia coli BL21 (DE3)",https://doi.org/10.1074/jbc.M408714200,C35H58O11,654.8 g/mol,"(3R,4S,6S,8S,10R,12R,14R,16S,17E,19E,21E,23E,25E,27S,28R)-4,6,8,10,12,14,16,27-octahydroxy-3-[(1R)-1-hydroxyhexyl]-17,28-dimethyl-1-oxacyclooctacosa-17,19,21,23,25-pentaen-2-one","InChI=1S/C35H58O11/c1-4-5-11-16-31(42)34-33(44)22-29(40)20-27(38)18-25(36)17-26(37)19-28(39)21-32(43)23(2)14-12-9-7-6-8-10-13-15-30(41)24(3)46-35(34)45/h6-10,12-15,24-34,36-44H,4-5,11,16-22H2,1-3H3/b7-6+,10-8+,12-9+,15-13+,23-14+/t24-,25+,26-,27+,28-,29+,30+,31-,32+,33+,34-/m1/s1",IMQSIXYSKPIGPD-YQRUMEKGSA-N,CCCCCC(C1C(CC(CC(CC(CC(CC(CC(C(=CC=CC=CC=CC=CC(C(OC1=O)C)O)C)O)O)O)O)O)O)O)O,,,,
D00011,Filipin III,Tau Filament ,"In vitro, Escherichia coli BL21 (DE3)",https://doi.org/10.1074/jbc.M408714200,C35H58O11,654.8 g/mol,"(3R,4S,6S,8S,10R,12R,14R,16S,17E,19E,21E,23E,25E,27S,28R)-4,6,8,10,12,14,16,27-octahydroxy-3-[(1R)-1-hydroxyhexyl]-17,28-dimethyl-1-oxacyclooctacosa-17,19,21,23,25-pentaen-2-one","InChI=1S/C35H58O11/c1-4-5-11-16-31(42)34-33(44)22-29(40)20-27(38)18-25(36)17-26(37)19-28(39)21-32(43)23(2)14-12-9-7-6-8-10-13-15-30(41)24(3)46-35(34)45/h6-10,12-15,24-34,36-44H,4-5,11,16-22H2,1-3H3/b7-6+,10-8+,12-9+,15-13+,23-14+/t24-,25+,26-,27+,28-,29+,30+,31-,32+,33+,34-/m1/s1",IMQSIXYSKPIGPD-YQRUMEKGSA-N,CCCCCC(C1C(CC(CC(CC(CC(CC(CC(C(=CC=CC=CC=CC=CC(C(OC1=O)C)O)C)O)O)O)O)O)O)O)O,,,,
D00012,Phensulfonphthaleine,IAPP,,https://doi.org/10.1111/j.1747-0285.2005.00318.x,C19H14O5S,354.4 g/mol,"4-[3-(4-hydroxyphenyl)-1,1-dioxo-2,1λ6-benzoxathiol-3-yl]phenol","InChI=1S/C19H14O5S/c20-15-9-5-13(6-10-15)19(14-7-11-16(21)12-8-14)17-3-1-2-4-18(17)25(22,23)24-19/h1-12,20-21H",BELBBZDIHDAJOR-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,,,,
